name,link,affiliation,accreditation
Jurnal RESTI (Rekayasa Sistem dan Teknologi Informasi),https://sinta.kemdikbud.go.id/journals/profile/3999,Ikatan Ahli Informatika Indonesia,S2 Accredited
Jurnal Teknologi Informasi dan Ilmu Komputer,https://sinta.kemdikbud.go.id/journals/profile/1093,Universitas Brawijaya,S2 Accredited
Jurnal Nasional Teknik Elektro dan Teknologi Informasi,https://sinta.kemdikbud.go.id/journals/profile/831,"Departemen Teknik Elektro dan Teknologi Informasi, Fakultas Teknik, Universitas Gadjah Mada",S2 Accredited
Lontar Komputer: Jurnal Ilmiah Teknologi Informasi,https://sinta.kemdikbud.go.id/journals/profile/1082,Universitas Udayana,S2 Accredited
Komuniti : Jurnal Komunikasi dan Teknologi Informasi,https://sinta.kemdikbud.go.id/journals/profile/275,Universitas Muhammadiyah Surakarta,S3 Accredited
Aiti: Jurnal Teknologi Informasi,https://sinta.kemdikbud.go.id/journals/profile/7764,Universitas Kristen Satya Wacana,S3 Accredited
Tematik : Jurnal Teknologi Informasi Komunikasi,https://sinta.kemdikbud.go.id/journals/profile/8172,POLITEKNIK LP3I BANDUNG,S3 Accredited
"Jurnal ELTIKOM : Jurnal Teknik Elektro, Teknologi Informasi dan Komputer",https://sinta.kemdikbud.go.id/journals/profile/4087,Pusat Penelitian dan Pengabdian kepada Masyarakat (P3M) Politeknik Negeri Banjarmasin,S3 Accredited
JUSTIN (Jurnal Sistem dan Teknologi Informasi),https://sinta.kemdikbud.go.id/journals/profile/5775,Universitas Tanjungpura,S3 Accredited
Digital Zone: Jurnal teknologi informasi dan Komunikasi,https://sinta.kemdikbud.go.id/journals/profile/4013,Fakultas ilmu Komputer-universitas lancang kuning,S3 Accredited
Inform: Jurnal Ilmiah Bidang Teknologi Informasi dan Komunikasi,https://sinta.kemdikbud.go.id/journals/profile/6632,Program Studi Teknik Informatika Universitas Dr.Soetomo,S3 Accredited
Telematika : Jurnal Informatika dan Teknologi Informasi,https://sinta.kemdikbud.go.id/journals/profile/6782,Universitas Pembangunan Nasional Veteran Yogyakarta,S3 Accredited
DECODE: Jurnal Pendidikan Teknologi Informasi,https://sinta.kemdikbud.go.id/journals/profile/9619,Universitas Muhammadiyah Kendari,S3 Accredited
Jurnal Teknologi Informasi dan Pendidikan,https://sinta.kemdikbud.go.id/journals/profile/4861,Universitas Negeri Padang,S3 Accredited
Jurnal Teknologi Informasi dan Terapan (J-TIT),https://sinta.kemdikbud.go.id/journals/profile/4357,Jurusan Teknologi Informasi Politeknik Negeri Jember,S3 Accredited
